index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
7;2800501001;Alcalá de Henares;epavF`voSt@Ux@Y\MnBhGBJHRNb@DL?FGF[PqAp@Tp@V`ALd@Np@F^VhA^jBH\@Db@Gf@Ib@C\@\@F?JBBDtCLjAHL@FAHAPQf@jADHJb@IFQPIDERCP?BCVGBONcB|AOJu@r@YVQTQPOL[P]LIEKBOFe@XWNUREDAFKLEBGEKASAg@DU?S@ODG@]JMDIDIq@Is@Ks@Ia@MBGEs@aBm@aBs@aBSe@oBsEw@cBc@iAYo@m@uAbB}@z@g@lBiAXOLADHRfABZBLNEd@M\GOoBEu@SwC;((epavF`voSt@Ux@Y\MnBhGBJHRNb@DL?FGF[PqAp@Tp@V`ALd@Np@F^VhA^jBH\@Db@Gf@Ib@C\@\@F?JBBDtCLjAHL@FAHAPQf@jADHJb@IFQPIDERCP?BCVGBONcB|AOJu@r@YVQTQPOL[P]LIEKBOFe@XWNUREDAFKLEBGEKASAg@DU?S@ODG@]JMDIDIq@Is@Ks@Ia@MBGEs@aBm@aBs@aBSe@oBsEw@cBc@iAYo@m@uAbB}@z@g@lBiAXOLADHRfABZBLNEd@M\GOoBEu@SwC));((epavF%60voSt%40Ux%40Y%5CMnBhGBJHRNb%40DL%3FFGF%5BPqAp%40Tp%40V%60ALd%40Np%40F%5EVhA%5EjBH%5C%40Db%40Gf%40Ib%40C%5C%40%5C%40F%3FJBBDtCLjAHL%40FAHAPQf%40jADHJb%40IFQPIDERCP%3FBCVGBONcB%7CAOJu%40r%40YVQTQPOL%5BP%5DLIEKBOFe%40XWNUREDAFKLEBGEKASAg%40DU%3FS%40ODG%40%5DJMDIDIq%40Is%40Ks%40Ia%40MBGEs%40aBm%40aBs%40aBSe%40oBsEw%40cBc%40iAYo%40m%40uAbB%7D%40z%40g%40lBiAXOLADHRfABZBLNEd%40M%5CGOoBEu%40SwC))
8;2800501002;Alcalá de Henares;uravF``oS@EFEFA@?H@FDBHBFANCFCBEBd@v@h@|@j@hAdAtBDJL\v@bBl@lAHRXn@r@dBP`@J\DNBJBVH`@F\BVFd@Ld@Pb@TXLNp@l@fAfATTJPRb@P`@r@|At@bBQPI@G@MAkAIuCMCEKCG?]A]Ac@Bg@Hc@FAEI]_@kBWiAG_@Oq@Me@WaAUq@pAq@ZQFG?GEMOc@ISCKoBiG]Ly@Xu@TOeBOwBKyAKiAGiAA_@?[?_@Ea@Ci@AW?KCW?I@E;((uravF``oS@EFEFA@?H@FDBHBFANCFCBEBd@v@h@|@j@hAdAtBDJL\v@bBl@lAHRXn@r@dBP`@J\DNBJBVH`@F\BVFd@Ld@Pb@TXLNp@l@fAfATTJPRb@P`@r@|At@bBQPI@G@MAkAIuCMCEKCG?]A]Ac@Bg@Hc@FAEI]_@kBWiAG_@Oq@Me@WaAUq@pAq@ZQFG?GEMOc@ISCKoBiG]Ly@Xu@TOeBOwBKyAKiAGiAA_@?[?_@Ea@Ci@AW?KCW?I@E));((uravF%60%60oS%40EFEFA%40%3FH%40FDBHBFANCFCBEBd%40v%40h%40%7C%40j%40hAdAtBDJL%5Cv%40bBl%40lAHRXn%40r%40dBP%60%40J%5CDNBJBVH%60%40F%5CBVFd%40Ld%40Pb%40TXLNp%40l%40fAfATTJPRb%40P%60%40r%40%7CAt%40bBQPI%40G%40MAkAIuCMCEKCG%3F%5DA%5DAc%40Bg%40Hc%40FAEI%5D_%40kBWiAG_%40Oq%40Me%40WaAUq%40pAq%40ZQFG%3FGEMOc%40ISCKoBiG%5DLy%40Xu%40TOeBOwBKyAKiAGiAA_%40%3F%5B%3F_%40Ea%40Ci%40AW%3FKCW%3FI%40E))
9;2800501003;Alcalá de Henares;kvavFp_qSTz@ZfABJFFH@L?LALCHALElD{@Hp@HELE\KFANERAT?f@ER@J@FDDCJM@GDETSVOd@YNGJCHD\MZQNMPQPUXWt@s@NKbB}ANOFCA`@Al@@`B?T@XA^AZARGr@EZG^SxA_@pBMZK\Yh@o@vAq@vA@FBJ?LEDEBGBICIPOTWZUPSL]JODYJi@Cq@I]E[EMC]AG@O?W@WHc@TmAn@s@^_@Pg@VQL[^a@[]c@m@kAaAqB_AkBWw@Ke@Kg@CUAYA[?[?a@A]E_@Ie@GUZQZSLIDCnBkA~A_A@CBC;((kvavFp_qSTz@ZfABJFFH@L?LALCHALElD{@Hp@HELE\KFANERAT?f@ER@J@FDDCJM@GDETSVOd@YNGJCHD\MZQNMPQPUXWt@s@NKbB}ANOFCA`@Al@@`B?T@XA^AZARGr@EZG^SxA_@pBMZK\Yh@o@vAq@vA@FBJ?LEDEBGBICIPOTWZUPSL]JODYJi@Cq@I]E[EMC]AG@O?W@WHc@TmAn@s@^_@Pg@VQL[^a@[]c@m@kAaAqB_AkBWw@Ke@Kg@CUAYA[?[?a@A]E_@Ie@GUZQZSLIDCnBkA~A_A@CBC));((kvavFp_qSTz%40ZfABJFFH%40L%3FLALCHALElD%7B%40Hp%40HELE%5CKFANERAT%3Ff%40ER%40J%40FDDCJM%40GDETSVOd%40YNGJCHD%5CMZQNMPQPUXWt%40s%40NKbB%7DANOFCA%60%40Al%40%40%60B%3FT%40XA%5EAZARGr%40EZG%5ESxA_%40pBMZK%5CYh%40o%40vAq%40vA%40FBJ%3FLEDEBGBICIPOTWZUPSL%5DJODYJi%40Cq%40I%5DE%5BEMC%5DAG%40O%3FW%40WHc%40TmAn%40s%40%5E_%40Pg%40VQL%5B%5Ea%40%5B%5Dc%40m%40kAaAqB_AkBWw%40Ke%40Kg%40CUAYA%5B%3F%5B%3Fa%40A%5DE_%40Ie%40GUZQZSLIDCnBkA~A_A%40CBC))
10;2800501004;Alcalá de Henares;kvavFp_qSCBAB_B~@oBjAEBMH[R[PWgASw@M_@M]GQKw@ASCq@TI\KTIj@WzAs@fAi@HVt@tCBJd@`B;((kvavFp_qSCBAB_B~@oBjAEBMH[R[PWgASw@M_@M]GQKw@ASCq@TI\KTIj@WzAs@fAi@HVt@tCBJd@`B));((kvavFp_qSCBAB_B~%40oBjAEBMH%5BR%5BPWgASw%40M_%40M%5DGQKw%40ASCq%40TI%5CKTIj%40WzAs%40fAi%40HVt%40tCBJd%40%60B))
11;2800501005;Alcalá de Henares;skbvFnsoSLGHIVYz@_A^c@Xb@v@q@r@c@~@k@rBeA^ULMJUDODSd@kC@WEa@RAjD_@^GFBFNAD?HBV?J@VBh@D`@?^?Z@^FhAJhAJxANvBNdBRvCDt@NnB]Fe@LODCMC[SgAEIM@YNmBhA{@f@cB|@l@tAXn@b@hAv@bBnBrERd@r@`Bl@`Br@`BFDLCH`@Jr@Hr@mDz@MDI@MBM@M?IAGGCK[gAU{@e@aBCKu@uCIWgAh@{Ar@k@VUH]JUHCqAAmAEyAA_@G_AMsBWeCKq@Kg@Mo@o@sBq@{Bm@iBOi@k@oBBEFI@KCM;((skbvFnsoSLGHIVYz@_A^c@Xb@v@q@r@c@~@k@rBeA^ULMJUDODSd@kC@WEa@RAjD_@^GFBFNAD?HBV?J@VBh@D`@?^?Z@^FhAJhAJxANvBNdBRvCDt@NnB]Fe@LODCMC[SgAEIM@YNmBhA{@f@cB|@l@tAXn@b@hAv@bBnBrERd@r@`Bl@`Br@`BFDLCH`@Jr@Hr@mDz@MDI@MBM@M?IAGGCK[gAU{@e@aBCKu@uCIWgAh@{Ar@k@VUH]JUHCqAAmAEyAA_@G_AMsBWeCKq@Kg@Mo@o@sBq@{Bm@iBOi@k@oBBEFI@KCM));((skbvFnsoSLGHIVYz%40_A%5Ec%40Xb%40v%40q%40r%40c%40~%40k%40rBeA%5EULMJUDODSd%40kC%40WEa%40RAjD_%40%5EGFBFNAD%3FHBV%3FJ%40VBh%40D%60%40%3F%5E%3FZ%40%5EFhAJhAJxANvBNdBRvCDt%40NnB%5DFe%40LODCMC%5BSgAEIM%40YNmBhA%7B%40f%40cB%7C%40l%40tAXn%40b%40hAv%40bBnBrERd%40r%40%60Bl%40%60Br%40%60BFDLCH%60%40Jr%40Hr%40mDz%40MDI%40MBM%40M%3FIAGGCK%5BgAU%7B%40e%40aBCKu%40uCIWgAh%40%7BAr%40k%40VUH%5DJUHCqAAmAEyAA_%40G_AMsBWeCKq%40Kg%40Mo%40o%40sBq%40%7BBm%40iBOi%40k%40oBBEFI%40KCM))
12;2800501006;Alcalá de Henares;a`avFh{oSx@lBr@dBv@pBLIdAaBHKfCcEt@qAxBkD^r@t@`Bl@vA`@dA`A|CZv@`@zAf@rBZlADPEDEHCJ?H?L]@s@DaALQBwB^SDkAP{BXELKDS@K?S@IFKc@EIg@kAu@cBs@}AQa@Sc@KQUUgAgAq@m@MOUYQc@Me@Ge@~AkA;((a`avFh{oSx@lBr@dBv@pBLIdAaBHKfCcEt@qAxBkD^r@t@`Bl@vA`@dA`A|CZv@`@zAf@rBZlADPEDEHCJ?H?L]@s@DaALQBwB^SDkAP{BXELKDS@K?S@IFKc@EIg@kAu@cBs@}AQa@Sc@KQUUgAgAq@m@MOUYQc@Me@Ge@~AkA));((a%60avFh%7BoSx%40lBr%40dBv%40pBLIdAaBHKfCcEt%40qAxBkD%5Er%40t%40%60Bl%40vA%60%40dA%60A%7CCZv%40%60%40zAf%40rBZlADPEDEHCJ%3FH%3FL%5D%40s%40DaALQBwB%5ESDkAP%7BBXELKDS%40K%3FS%40IFKc%40EIg%40kAu%40cBs%40%7DAQa%40Sc%40KQUUgAgAq%40m%40MOUYQc%40Me%40Ge%40~AkA))
13;2800501007;Alcalá de Henares;uw`vFfxoSr@g@dAy@jCsBh@bAyBjDu@pAgCbEIJeA`BMHw@qBs@eB`BkBnBcB;((uw`vFfxoSr@g@dAy@jCsBh@bAyBjDu@pAgCbEIJeA`BMHw@qBs@eB`BkBnBcB));((uw%60vFfxoSr%40g%40dAy%40jCsBh%40bAyBjDu%40pAgCbEIJeA%60BMHw%40qBs%40eB%60BkBnBcB))
14;2800501008;Alcalá de Henares;{y`vFnsoSdAvCoBbBaBjBy@mB[y@x@o@f@a@JG`A}@p@g@;(({y`vFnsoSdAvCoBbBaBjBy@mB[y@x@o@f@a@JG`A}@p@g@));((%7By%60vFnsoSdAvCoBbBaBjBy%40mB%5By%40x%40o%40f%40a%40JG%60A%7D%40p%40g%40))
15;2800501009;Alcalá de Henares;mr`vFbmoSHLR`@Zj@b@p@kCrBeAx@s@f@eAwCHIfA{@b@]d@]pAiA;((mr`vFbmoSHLR`@Zj@b@p@kCrBeAx@s@f@eAwCHIfA{@b@]d@]pAiA));((mr%60vFbmoSHLR%60%40Zj%40b%40p%40kCrBeAx%40s%40f%40eAwCHIfA%7B%40b%40%5Dd%40%5DpAiA))
16;2800501010;Alcalá de Henares;eoavFbgnSfAzCj@~AZj@l@v@dAlArAtAh@h@z@l@|@f@lA~@j@t@d@r@d@t@`@p@d@p@EJGT?RHJLFJBNCHJ\r@d@~@Xl@qAhAe@\c@\gAz@IHq@f@aA|@KFg@`@y@n@Zx@_BjACWG]Ia@CWCKEOK]Qa@s@eBYo@ISm@mAw@cBM]EKeAuBk@iAi@}@e@w@DCBCBG@OCGCIGEIAAi@Be@VmBJaAHq@JoALiBJeB@i@?SDwAAg@;((eoavFbgnSfAzCj@~AZj@l@v@dAlArAtAh@h@z@l@|@f@lA~@j@t@d@r@d@t@`@p@d@p@EJGT?RHJLFJBNCHJ\r@d@~@Xl@qAhAe@\c@\gAz@IHq@f@aA|@KFg@`@y@n@Zx@_BjACWG]Ia@CWCKEOK]Qa@s@eBYo@ISm@mAw@cBM]EKeAuBk@iAi@}@e@w@DCBCBG@OCGCIGEIAAi@Be@VmBJaAHq@JoALiBJeB@i@?SDwAAg@));((eoavFbgnSfAzCj%40~AZj%40l%40v%40dAlArAtAh%40h%40z%40l%40%7C%40f%40lA~%40j%40t%40d%40r%40d%40t%40%60%40p%40d%40p%40EJGT%3FRHJLFJBNCHJ%5Cr%40d%40~%40Xl%40qAhAe%40%5Cc%40%5CgAz%40IHq%40f%40aA%7C%40KFg%40%60%40y%40n%40Zx%40_BjACWG%5DIa%40CWCKEOK%5DQa%40s%40eBYo%40ISm%40mAw%40cBM%5DEKeAuBk%40iAi%40%7D%40e%40w%40DCBCBG%40OCGCIGEIAAi%40Be%40VmBJaAHq%40JoALiBJeB%40i%40%3FSDwAAg%40))
