index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
750;2806501002;Getafe;in~tFfdxUdAVQ~AUbBk@tBi@pBG^Q?]CaCMsAMyAGo@EOm@Mo@]kBOaAMs@Ck@Ak@J?TF~@Tp@N|@TlAV@Oh@oDf@Jx@Rj@LZFNBh@J;((in~tFfdxUdAVQ~AUbBk@tBi@pBG^Q?]CaCMsAMyAGo@EOm@Mo@]kBOaAMs@Ck@Ak@J?TF~@Tp@N|@TlAV@Oh@oDf@Jx@Rj@LZFNBh@J));((in~tFfdxUdAVQ~AUbBk%40tBi%40pBG%5EQ%3F%5DCaCMsAMyAGo%40EOm%40Mo%40%5DkBOaAMs%40Ck%40Ak%40J%3FTF~%40Tp%40N%7C%40TlAV%40Oh%40oDf%40Jx%40Rj%40LZFNBh%40J))
751;2806501003;Getafe;q|_uF~owUz@mEn@LXFdAX~Av@t@l@p@n@p@v@j@f@d@b@^`@ZV_@`BMn@CXQTW^Ec@Ic@@g@?i@GCCAQCwAU}@OM@mBMk@KYMk@YcAa@[MLu@Hg@;((q|_uF~owUz@mEn@LXFdAX~Av@t@l@p@n@p@v@j@f@d@b@^`@ZV_@`BMn@CXQTW^Ec@Ic@@g@?i@GCCAQCwAU}@OM@mBMk@KYMk@YcAa@[MLu@Hg@));((q%7C_uF~owUz%40mEn%40LXFdAX~Av%40t%40l%40p%40n%40p%40v%40j%40f%40d%40b%40%5E%60%40ZV_%40%60BMn%40CXQTW%5EEc%40Ic%40%40g%40%3Fi%40GCCAQCwAU%7D%40OM%40mBMk%40KYMk%40YcAa%40%5BMLu%40Hg%40))
752;2806501004;Getafe;gm_uFx|vU^GXG\Ip@[ZQPKVKPGRCZAr@AALYxBE\UjBMbAOjAS`BKr@CTQv@Qz@Mr@If@Mf@WdA[W_@a@e@c@Ri@La@P_@Nc@F[H}@Fa@a@QwAi@BSBY@q@@_@@uBDoB?O;((gm_uFx|vU^GXG\Ip@[ZQPKVKPGRCZAr@AALYxBE\UjBMbAOjAS`BKr@CTQv@Qz@Mr@If@Mf@WdA[W_@a@e@c@Ri@La@P_@Nc@F[H}@Fa@a@QwAi@BSBY@q@@_@@uBDoB?O));((gm_uFx%7CvU%5EGXG%5CIp%40%5BZQPKVKPGRCZAr%40AALYxBE%5CUjBMbAOjAS%60BKr%40CTQv%40Qz%40Mr%40If%40Mf%40WdA%5BW_%40a%40e%40c%40Ri%40La%40P_%40Nc%40F%5BH%7D%40Fa%40a%40QwAi%40BSBY%40q%40%40_%40%40uBDoB%3FO))
753;2806501005;Getafe;qf_uFvovUr@CfAC?pB@|ADf@GPKn@s@@[@SBQFWJQJ[Pq@Z]HYF_@Fm@@oB?aB?gB?ICEgDAk@EeDnEMtCGn@ANA`AClBG;((qf_uFvovUr@CfAC?pB@|ADf@GPKn@s@@[@SBQFWJQJ[Pq@Z]HYF_@Fm@@oB?aB?gB?ICEgDAk@EeDnEMtCGn@ANA`AClBG));((qf_uFvovUr%40CfAC%3FpB%40%7CADf%40GPKn%40s%40%40%5B%40SBQFWJQJ%5BPq%40Z%5DHYF_%40Fm%40%40oB%3FaB%3FgB%3FICEgDAk%40EeDnEMtCGn%40ANA%60AClBG))
754;2806501006;Getafe;we_uFjfwUNkALcATkBD]XyB@MJo@FQEg@A}A?qBpACl@ANMJELALLPb@Pr@Tb@h@z@bAfBjA`Bl@j@T\LLJ@HDZT@fD@vABTs@l@UJa@RCOGCU?a@Ao@Mq@OI@Cw@Bk@D}A?KKC?a@gA@ApBI@kBHk@@DrA@`@AZCx@Af@?Z_@@[Cc@I[Ms@WBUJs@RaB;((we_uFjfwUNkALcATkBD]XyB@MJo@FQEg@A}A?qBpACl@ANMJELALLPb@Pr@Tb@h@z@bAfBjA`Bl@j@T\LLJ@HDZT@fD@vABTs@l@UJa@RCOGCU?a@Ao@Mq@OI@Cw@Bk@D}A?KKC?a@gA@ApBI@kBHk@@DrA@`@AZCx@Af@?Z_@@[Cc@I[Ms@WBUJs@RaB));((we_uFjfwUNkALcATkBD%5DXyB%40MJo%40FQEg%40A%7DA%3FqBpACl%40ANMJELALLPb%40Pr%40Tb%40h%40z%40bAfBjA%60Bl%40j%40T%5CLLJ%40HDZT%40fD%40vABTs%40l%40UJa%40RCOGCU%3Fa%40Ao%40Mq%40OI%40Cw%40Bk%40D%7DA%3FKKC%3Fa%40gA%40ApBI%40kBHk%40%40DrA%40%60%40AZCx%40Af%40%3FZ_%40%40%5BCc%40I%5BMs%40WBUJs%40RaB))
755;2806501007;Getafe;_l~tFpbwURJb@`@^^Zf@Rj@Jr@Jt@p@~EsBh@aBb@ODAM@WJqCHuBCsD@}A;((_l~tFpbwURJb@`@^^Zf@Rj@Jr@Jt@p@~EsBh@aBb@ODAM@WJqCHuBCsD@}A));((_l~tFpbwURJb%40%60%40%5E%5EZf%40Rj%40Jr%40Jt%40p%40~EsBh%40aBb%40ODAM%40WJqCHuBCsD%40%7DA))
756;2806501008;Getafe;un~tFltwU`ABx@zEh@nDATUp@WdAO?SKeAWi@KOCNcCJcDPaE;((un~tFltwU`ABx@zEh@nDATUp@WdAO?SKeAWi@KOCNcCJcDPaE));((un~tFltwU%60ABx%40zEh%40nDATUp%40WdAO%3FSKeAWi%40KOCNcCJcDPaE))
757;2806501009;Getafe;{f_uFvkwUr@VZLb@HZB^AF?HAJ@J@T@LBH@F@^Dj@DT@LEh@MVCBj@FhD?HBRYB_@r@c@|@ITIXU@K?s@|Bi@Qs@U?M?Q?[}@EMCAFs@o@eAaAu@o@OGVeALg@Hg@Ls@P{@Pw@;(({f_uFvkwUr@VZLb@HZB^AF?HAJ@J@T@LBH@F@^Dj@DT@LEh@MVCBj@FhD?HBRYB_@r@c@|@ITIXU@K?s@|Bi@Qs@U?M?Q?[}@EMCAFs@o@eAaAu@o@OGVeALg@Hg@Ls@P{@Pw@));((%7Bf_uFvkwUr%40VZLb%40HZB%5EAF%3FHAJ%40J%40T%40LBH%40F%40%5EDj%40DT%40LEh%40MVCBj%40FhD%3FHBRYB_%40r%40c%40%7C%40ITIXU%40K%3Fs%40%7CBi%40Qs%40U%3FM%3FQ%3F%5B%7D%40EMCAFs%40o%40eAaAu%40o%40OGVeALg%40Hg%40Ls%40P%7B%40Pw%40))
758;2806501010;Getafe;in_uFbhxU\KPG\QZSLQHIBDLFTJJDDJHDvCj@PDIlAT@hAHl@F\jBLn@Nl@_@CgBI_AIiCY_BU_AS{Cu@|@iBTe@HW;((in_uFbhxU\KPG\QZSLQHIBDLFTJJDDJHDvCj@PDIlAT@hAHl@F\jBLn@Nl@_@CgBI_AIiCY_BU_AS{Cu@|@iBTe@HW));((in_uFbhxU%5CKPG%5CQZSLQHIBDLFTJJDDJHDvCj%40PDIlAT%40hAHl%40F%5CjBLn%40Nl%40_%40CgBI_AIiCY_BU_AS%7BCu%40%7C%40iBTe%40HW))
759;2806501011;Getafe;yl_uFv|wUV_@PUBYLo@^aBNFt@n@dA`Ar@n@@GLB|@D?Z?P?Lr@Th@Pp@XxAh@~@TNDDB`AVi@nDANmAW}@Uq@O_AUUGK?@j@Bj@Lr@N`Am@GiAIUAHmAQEwCk@IEEKKEUKMGCEIHMP[R]PQF]JLk@RcAJoABu@?q@?e@A];((yl_uFv|wUV_@PUBYLo@^aBNFt@n@dA`Ar@n@@GLB|@D?Z?P?Lr@Th@Pp@XxAh@~@TNDDB`AVi@nDANmAW}@Uq@O_AUUGK?@j@Bj@Lr@N`Am@GiAIUAHmAQEwCk@IEEKKEUKMGCEIHMP[R]PQF]JLk@RcAJoABu@?q@?e@A]));((yl_uFv%7CwUV_%40PUBYLo%40%5EaBNFt%40n%40dA%60Ar%40n%40%40GLB%7C%40D%3FZ%3FP%3FLr%40Th%40Pp%40XxAh%40~%40TNDDB%60AVi%40nDANmAW%7D%40Uq%40O_AUUGK%3F%40j%40Bj%40Lr%40N%60Am%40GiAIUAHmAQEwCk%40IEEKKEUKMGCEIHMP%5BR%5DPQF%5DJLk%40RcAJoABu%40%3Fq%40%3Fe%40A%5D))
760;2806501012;Getafe;ai~tFfswUp@~Ej@`Ed@pDeCI{@EVeATq@@Ui@oDy@{ENE`Bc@;((ai~tFfswUp@~Ej@`Ed@pDeCI{@EVeATq@@Ui@oDy@{ENE`Bc@));((ai~tFfswUp%40~Ej%40%60Ed%40pDeCI%7B%40EVeATq%40%40Ui%40oDy%40%7BENE%60Bc%40))
761;2806501013;Getafe;yy~tFfewUCj@Bv@HAp@Nn@L`@@T?FBBN`@STKBX@l@BnCBxA?x@Q@_BDGGG?Mc@Uo@IYMe@Ia@Mg@WBi@LMDUAk@E_@EGAIAMCUAKAKAI@G??[@g@By@@[Aa@EsAj@AjBIHA@qBfAA?`@JB?JE|A;((yy~tFfewUCj@Bv@HAp@Nn@L`@@T?FBBN`@STKBX@l@BnCBxA?x@Q@_BDGGG?Mc@Uo@IYMe@Ia@Mg@WBi@LMDUAk@E_@EGAIAMCUAKAKAI@G??[@g@By@@[Aa@EsAj@AjBIHA@qBfAA?`@JB?JE|A));((yy~tFfewUCj%40Bv%40HAp%40Nn%40L%60%40%40T%3FFBBN%60%40STKBX%40l%40BnCBxA%3Fx%40Q%40_BDGGG%3FMc%40Uo%40IYMe%40Ia%40Mg%40WBi%40LMDUAk%40E_%40EGAIAMCUAKAKAI%40G%3F%3F%5B%40g%40By%40%40%5BAa%40EsAj%40AjBIHA%40qBfAA%3F%60%40JB%3FJE%7CA))
