index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
889;2807401001;Leganés;olcuFda~UZc@b@i@FIh@o@z@cAp@w@f@z@^l@p@fAPZV`@eAhCy@nBGJGHm@k@MOYUkBkAeAo@HYHS;((olcuFda~UZc@b@i@FIh@o@z@cAp@w@f@z@^l@p@fAPZV`@eAhCy@nBGJGHm@k@MOYUkBkAeAo@HYHS));((olcuFda~UZc%40b%40i%40FIh%40o%40z%40cAp%40w%40f%40z%40%5El%40p%40fAPZV%60%40eAhCy%40nBGJGHm%40k%40MOYUkBkAeAo%40HYHS))
890;2807401002;Leganés;k`cuFp`~UJRj@~@LXJTdAbBNVT^\b@LFF?NBGPIXIRUp@]jAu@a@k@YQO]Ya@]o@i@QKkAcAFIFKx@oBdAiC;((k`cuFp`~UJRj@~@LXJTdAbBNVT^\b@LFF?NBGPIXIRUp@]jAu@a@k@YQO]Ya@]o@i@QKkAcAFIFKx@oBdAiC));((k%60cuFp%60~UJRj%40~%40LXJTdAbBNVT%5E%5Cb%40LFF%3FNBGPIXIRUp%40%5DjAu%40a%40k%40YQO%5DYa%40%5Do%40i%40QKkAcAFIFKx%40oBdAiC))
891;2807401003;Leganés;ixbuF`k~U?K?GBKZ]h@o@b@i@HGFGwBiFM[NKdBi@jCq@v@S|B|DFHJFbD`BBD?DAFSTIFCHUd@wCxGaAlB?FD\Ab@Et@q@Mc@K{@WcAYg@QiAe@s@Yk@U\kATq@HSHYFQ;((ixbuF`k~U?K?GBKZ]h@o@b@i@HGFGwBiFM[NKdBi@jCq@v@S|B|DFHJFbD`BBD?DAFSTIFCHUd@wCxGaAlB?FD\Ab@Et@q@Mc@K{@WcAYg@QiAe@s@Yk@U\kATq@HSHYFQ));((ixbuF%60k~U%3FK%3FGBKZ%5Dh%40o%40b%40i%40HGFGwBiFM%5BNKdBi%40jCq%40v%40S%7CB%7CDFHJFbD%60BBD%3FDAFSTIFCHUd%40wCxGaAlB%3FFD%5CAb%40Et%40q%40Mc%40K%7B%40WcAYg%40QiAe%40s%40Yk%40U%5CkATq%40HSHYFQ))
892;2807401004;Leganés;gwcuF~n~U\f@JMFMV_@h@o@d@o@`@k@Tg@LWHJLYN]Zw@J[Rk@dAn@jBjAXTAFEHOLIHMN@PSXKPOd@GEQj@KZUp@Wx@e@lAy@|BITk@c@_@]OOJMBMAGIO[WYUMKYp@c@_@]S]SMEG@JWLULUNU;((gwcuF~n~U\f@JMFMV_@h@o@d@o@`@k@Tg@LWHJLYN]Zw@J[Rk@dAn@jBjAXTAFEHOLIHMN@PSXKPOd@GEQj@KZUp@Wx@e@lAy@|BITk@c@_@]OOJMBMAGIO[WYUMKYp@c@_@]S]SMEG@JWLULUNU));((gwcuF~n~U%5Cf%40JMFMV_%40h%40o%40d%40o%40%60%40k%40Tg%40LWHJLYN%5DZw%40J%5BRk%40dAn%40jBjAXTAFEHOLIHMN%40PSXKPOd%40GEQj%40KZUp%40Wx%40e%40lAy%40%7CBITk%40c%40_%40%5DOOJMBMAGIO%5BWYUMKYp%40c%40_%40%5DS%5DSMEG%40JWLULUNU))
893;2807401005;Leganés;wfcuFdg~ULNl@j@jAbAPJn@h@`@\\XPNj@Xt@`@j@Tr@XWJ[Nk@`@qA|@STq@f@yAfAs@h@aAp@y@h@SLDRDLDFQ?MCM@KHIJ?QAK@KUe@o@sAWe@MKm@_AMOx@}Bd@mAVy@Tq@J[Pk@FDNe@JQRYAQLOHINMDI@G;((wfcuFdg~ULNl@j@jAbAPJn@h@`@\\XPNj@Xt@`@j@Tr@XWJ[Nk@`@qA|@STq@f@yAfAs@h@aAp@y@h@SLDRDLDFQ?MCM@KHIJ?QAK@KUe@o@sAWe@MKm@_AMOx@}Bd@mAVy@Tq@J[Pk@FDNe@JQRYAQLOHINMDI@G));((wfcuFdg~ULNl%40j%40jAbAPJn%40h%40%60%40%5C%5CXPNj%40Xt%40%60%40j%40Tr%40XWJ%5BNk%40%60%40qA%7C%40STq%40f%40yAfAs%40h%40aAp%40y%40h%40SLDRDLDFQ%3FMCM%40KHIJ%3FQAK%40KUe%40o%40sAWe%40MKm%40_AMOx%40%7DBd%40mAVy%40Tq%40J%5BPk%40FDNe%40JQRYAQLOHINMDI%40G))
894;2807401006;Leganés;ywbuFnr~UhAd@I\WxAa@lCLJ\XDF?LATEVGh@CZ_@IOCq@Mq@KMpAO~@Iz@Gh@GrAGx@C\[a@o@y@KQcBuBkBaCg@q@EGEMESRMx@i@`Aq@r@i@xAgAp@g@RUpA}@j@a@ZOVK;((ywbuFnr~UhAd@I\WxAa@lCLJ\XDF?LATEVGh@CZ_@IOCq@Mq@KMpAO~@Iz@Gh@GrAGx@C\[a@o@y@KQcBuBkBaCg@q@EGEMESRMx@i@`Aq@r@i@xAgAp@g@RUpA}@j@a@ZOVK));((ywbuFnr~UhAd%40I%5CWxAa%40lCLJ%5CXDF%3FLATEVGh%40CZ_%40IOCq%40Mq%40KMpAO~%40Iz%40Gh%40GrAGx%40C%5C%5Ba%40o%40y%40KQcBuBkBaCg%40q%40EGEMESRMx%40i%40%60Aq%40r%40i%40xAgAp%40g%40RUpA%7D%40j%40a%40ZOVK))
895;2807401007;Leganés;qvbuFlw~UVyAH]f@PbAXz@Vb@Jp@LIZE`@Gv@KbBEp@Ch@Ev@IrA??{@[oC_AYMB[Fi@DW@U?MEG]YMK`@mC;((qvbuFlw~UVyAH]f@PbAXz@Vb@Jp@LIZE`@Gv@KbBEp@Ch@Ev@IrA??{@[oC_AYMB[Fi@DW@U?MEG]YMK`@mC));((qvbuFlw~UVyAH%5Df%40PbAXz%40Vb%40Jp%40LIZE%60%40Gv%40KbBEp%40Ch%40Ev%40IrA%3F%3F%7B%40%5BoC_AYMB%5BFi%40DW%40U%3FMEG%5DYMK%60%40mC))
896;2807401008;Leganés;uvbuFja_VKnAInASvBKbAGb@MVY^OROTQIOSY]OUESB]Fy@FsAFi@H{@N_ALqAp@Jp@LNB^H;((uvbuFja_VKnAInASvBKbAGb@MVY^OROTQIOSY]OUESB]Fy@FsAFi@H{@N_ALqAp@Jp@LNB^H));((uvbuFja_VKnAInASvBKbAGb%40MVY%5EOROTQIOSY%5DOUESB%5DFy%40FsAFi%40H%7B%40N_ALqAp%40Jp%40LNB%5EH))
897;2807401009;Leganés;oobuFtd_V??GfAGxAMbBMp@Yv@u@hB[v@m@QiAc@]MOOY[OQCO?GNUNSX_@LWFc@JcARwBHoAJoAXLnC~@z@Z;((oobuFtd_V??GfAGxAMbBMp@Yv@u@hB[v@m@QiAc@]MOOY[OQCO?GNUNSX_@LWFc@JcARwBHoAJoAXLnC~@z@Z));((oobuFtd_V%3F%3FGfAGxAMbBMp%40Yv%40u%40hB%5Bv%40m%40QiAc%40%5DMOOY%5BOQCO%3FGNUNSX_%40LWFc%40JcARwBHoAJoAXLnC~%40z%40Z))
898;2807401010;Leganés;_ycuFxq~UFALD\R\Rb@^Xq@LJXTZVHN@FCLKLNN^\j@b@EFGHY`@kAnA]b@a@l@UTEHWXKOg@i@]Yk@_@JWm@i@IEWWN]Vk@N]DOJ]V_AFYDIL[;((_ycuFxq~UFALD\R\Rb@^Xq@LJXTZVHN@FCLKLNN^\j@b@EFGHY`@kAnA]b@a@l@UTEHWXKOg@i@]Yk@_@JWm@i@IEWWN]Vk@N]DOJ]V_AFYDIL[));((_ycuFxq~UFALD%5CR%5CRb%40%5EXq%40LJXTZVHN%40FCLKLNN%5E%5Cj%40b%40EFGHY%60%40kAnA%5Db%40a%40l%40UTEHWXKOg%40i%40%5DYk%40_%40JWm%40i%40IEWWN%5DVk%40N%5DDOJ%5DV_AFYDIL%5B))
